Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share High,California,B.1.617.3,0,"31,450"
Share,California,B.1.621 (Mu),0,"31,450"
Share Low,California,B.1.621 (Mu),0,"31,450"
Share High,California,B.1.621 (Mu),0,"31,450"
Share,California,BA.2 (Omicron),0.000949032,"31,450"
Share Low,California,BA.2 (Omicron),0.000639688,"31,450"
Share High,California,BA.2 (Omicron),0.001355746,"31,450"
Share,California,Other,0.001684643,"31,450"
Share Low,California,Other,6.195555761e-05,"31,450"
Share High,California,Other,0.008587063,"31,450"
Share,California,P.1,0,"31,450"
Share Low,California,P.1,0,"31,450"
Share High,California,P.1,0,"31,450"
Share,California,P.2,0,"31,450"
Share Low,California,P.2,0,"31,450"
Share High,California,P.2,0,"31,450"
Share,Colorado,AY.1 (Delta),0,"3,054"
Share Low,Colorado,AY.1 (Delta),0,"3,054"
Share High,Colorado,AY.1 (Delta),0,"3,054"
Share,Colorado,AY.2 (Delta),0,"3,054"
Share Low,Colorado,AY.2 (Delta),0,"3,054"
Share High,Colorado,AY.2 (Delta),0,"3,054"
Share,Colorado,B.1.1.7 (Alpha),0,"3,054"
Share Low,Colorado,B.1.1.7 (Alpha),0,"3,054"
Share High,Colorado,B.1.1.7 (Alpha),0,"3,054"
Share,Colorado,B.1.1.529 (Omicron),0.940599740,"3,054"
Share Low,Colorado,B.1.1.529 (Omicron),0.902187943,"3,054"
Share High,Colorado,B.1.1.529 (Omicron),0.967223644,"3,054"
Share,Colorado,B.1.351,0,"3,054"
Share Low,Colorado,B.1.351,0,"3,054"
Share High,Colorado,B.1.351,0,"3,054"
Share,Colorado,B.1.427/429,0,"3,054"
Share Low,Colorado,B.1.427/429,0,"3,054"
Share High,Colorado,B.1.427/429,0,"3,054"
Share,Colorado,B.1.525,0,"3,054"
Share Low,Colorado,B.1.525,0,"3,054"
Share High,Colorado,B.1.525,0,"3,054"
Share,Colorado,B.1.526 (Iota),0,"3,054"
Share Low,Colorado,B.1.526 (Iota),0,"3,054"
Share High,Colorado,B.1.526 (Iota),0,"3,054"
Share,Colorado,B.1.617.1,0,"3,054"
Share Low,Colorado,B.1.617.1,0,"3,054"
Share High,Colorado,B.1.617.1,0,"3,054"
Share,Colorado,B.1.617.2 (Delta),0.054745313,"3,054"
Share Low,Colorado,B.1.617.2 (Delta),0.029726008,"3,054"
Share High,Colorado,B.1.617.2 (Delta),0.091247499,"3,054"
Share,Colorado,B.1.617.3,0,"3,054"
Share Low,Colorado,B.1.617.3,0,"3,054"
Share High,Colorado,B.1.617.3,0,"3,054"
Share,Colorado,B.1.621 (Mu),0,"3,054"
Share Low,Colorado,B.1.621 (Mu),0,"3,054"
Share High,Colorado,B.1.621 (Mu),0,"3,054"
Share,Colorado,BA.2 (Omicron),0,"3,054"
Share Low,Colorado,BA.2 (Omicron),0,"3,054"
Share High,Colorado,BA.2 (Omicron),0,"3,054"
Share,Colorado,Other,0.004654940,"3,054"
Share Low,Colorado,Other,0.000116366,"3,054"
Share High,Colorado,Other,0.025731102,"3,054"
Share,Colorado,P.1,0,"3,054"
Share Low,Colorado,P.1,0,"3,054"
Share High,Colorado,P.1,0,"3,054"
Share,Colorado,P.2,0,"3,054"
Share Low,Colorado,P.2,0,"3,054"
Share High,Colorado,P.2,0,"3,054"
Share,Commonwealth of the Northern Mariana Islands,AY.1 (Delta),0,102
Share Low,Commonwealth of the Northern Mariana Islands,AY.1 (Delta),0,102
Share High,Commonwealth of the Northern Mariana Islands,AY.1 (Delta),0,102
Share,Commonwealth of the Northern Mariana Islands,AY.2 (Delta),0,102
Share Low,Commonwealth of the Northern Mariana Islands,AY.2 (Delta),0,102
Share High,Commonwealth of the Northern Mariana Islands,AY.2 (Delta),0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.1.7 (Alpha),0,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.1.7 (Alpha),0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.1.7 (Alpha),0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.1.529 (Omicron),0.421543837,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.1.529 (Omicron),0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.1.529 (Omicron),0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.351,0,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.351,0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.351,0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.427/429,0,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.427/429,0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.427/429,0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.525,0,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.525,0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.525,0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.526 (Iota),0,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.526 (Iota),0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.526 (Iota),0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.617.1,0,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.617.1,0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.617.1,0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.617.2 (Delta),0.568655550,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.617.2 (Delta),0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.617.2 (Delta),0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.617.3,0,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.617.3,0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.617.3,0,102
Share,Commonwealth of the Northern Mariana Islands,B.1.621 (Mu),0,102
Share Low,Commonwealth of the Northern Mariana Islands,B.1.621 (Mu),0,102
Share High,Commonwealth of the Northern Mariana Islands,B.1.621 (Mu),0,102
Share,Commonwealth of the Northern Mariana Islands,BA.2 (Omicron),0.009800613,102
Share Low,Commonwealth of the Northern Mariana Islands,BA.2 (Omicron),0,102
Share High,Commonwealth of the Northern Mariana Islands,BA.2 (Omicron),0,102
Share,Commonwealth of the Northern Mariana Islands,Other,0,102
Share Low,Commonwealth of the Northern Mariana Islands,Other,0,102
