UpdateDTS,State,Measure Names,Measure Values,samples
2021-04-15T14:45:00Z,California,B.1.1.7,0.1594,6919
2021-04-15T14:45:00Z,California,B.1.351,0.0025,6919
2021-04-15T14:45:00Z,California,B.1.427/B.1.429,0.5384,6919
2021-04-15T14:45:00Z,California,P.1,0.0156,6919
2021-04-15T14:45:00Z,California,Other lineages,0.2841,6919
2021-04-15T14:45:00Z,Colorado,B.1.1.7,0.2907,915
2021-04-15T14:45:00Z,Colorado,B.1.351,0.0011,915
2021-04-15T14:45:00Z,Colorado,B.1.427/B.1.429,0.2809,915
2021-04-15T14:45:00Z,Colorado,P.1,0.0077,915
2021-04-15T14:45:00Z,Colorado,Other lineages,0.4197,915
2021-04-15T14:45:00Z,Connecticut,B.1.1.7,0.2919,651
2021-04-15T14:45:00Z,Connecticut,B.1.351,0.0077,651
2021-04-15T14:45:00Z,Connecticut,B.1.427/B.1.429,0.0753,651
2021-04-15T14:45:00Z,Connecticut,P.1,0.0077,651
2021-04-15T14:45:00Z,Connecticut,Other lineages,0.6175,651
2021-04-15T14:45:00Z,Florida,B.1.1.7,0.5222,6093
2021-04-15T14:45:00Z,Florida,B.1.351,0.0031,6093
2021-04-15T14:45:00Z,Florida,B.1.427/B.1.429,0.0748,6093
2021-04-15T14:45:00Z,Florida,P.1,0.0236,6093
2021-04-15T14:45:00Z,Florida,Other lineages,0.3762,6093
2021-04-15T14:45:00Z,Georgia,B.1.1.7,0.4555,1642
2021-04-15T14:45:00Z,Georgia,B.1.351,0.0201,1642
2021-04-15T14:45:00Z,Georgia,B.1.427/B.1.429,0.0445,1642
2021-04-15T14:45:00Z,Georgia,P.1,0.0018,1642
2021-04-15T14:45:00Z,Georgia,Other lineages,0.4781,1642
2021-04-15T14:45:00Z,Illinois,B.1.1.7,0.3013,1477
2021-04-15T14:45:00Z,Illinois,B.1.351,0.0054,1477
2021-04-15T14:45:00Z,Illinois,B.1.427/B.1.429,0.153,1477
2021-04-15T14:45:00Z,Illinois,P.1,0.0785,1477
2021-04-15T14:45:00Z,Illinois,Other lineages,0.4617,1477
2021-04-15T14:45:00Z,Indiana,B.1.1.7,0.2379,912
2021-04-15T14:45:00Z,Indiana,B.1.351,0.0044,912
2021-04-15T14:45:00Z,Indiana,B.1.427/B.1.429,0.0921,912
2021-04-15T14:45:00Z,Indiana,P.1,0.0055,912
2021-04-15T14:45:00Z,Indiana,Other lineages,0.6601,912
2021-04-15T14:45:00Z,Kentucky,B.1.1.7,0.1871,326
2021-04-15T14:45:00Z,Kentucky,B.1.351,,326
2021-04-15T14:45:00Z,Kentucky,B.1.427/B.1.429,0.046,326
2021-04-15T14:45:00Z,Kentucky,P.1,0.0031,326
2021-04-15T14:45:00Z,Kentucky,Other lineages,0.7638,326
2021-04-15T14:45:00Z,Louisiana,B.1.1.7,0.3441,311
2021-04-15T14:45:00Z,Louisiana,B.1.351,,311
2021-04-15T14:45:00Z,Louisiana,B.1.427/B.1.429,0.0836,311
2021-04-15T14:45:00Z,Louisiana,P.1,,311
2021-04-15T14:45:00Z,Louisiana,Other lineages,0.5723,311
2021-04-15T14:45:00Z,Maryland,B.1.1.7,0.3897,839
2021-04-15T14:45:00Z,Maryland,B.1.351,0.0238,839
2021-04-15T14:45:00Z,Maryland,B.1.427/B.1.429,0.0286,839
2021-04-15T14:45:00Z,Maryland,P.1,0.0012,839
2021-04-15T14:45:00Z,Maryland,Other lineages,0.5566,839
2021-04-15T14:45:00Z,Massachusetts,B.1.1.7,0.2939,2351
2021-04-15T14:45:00Z,Massachusetts,B.1.351,,2351
2021-04-15T14:45:00Z,Massachusetts,B.1.427/B.1.429,0.0387,2351
2021-04-15T14:45:00Z,Massachusetts,P.1,0.0311,2351
2021-04-15T14:45:00Z,Massachusetts,Other lineages,0.6363,2351
2021-04-15T14:45:00Z,Michigan,B.1.1.7,0.5755,2066
2021-04-15T14:45:00Z,Michigan,B.1.351,0.001,2066
2021-04-15T14:45:00Z,Michigan,B.1.427/B.1.429,0.0576,2066
2021-04-15T14:45:00Z,Michigan,P.1,0.0024,2066
2021-04-15T14:45:00Z,Michigan,Other lineages,0.3635,2066
2021-04-15T14:45:00Z,Minnesota,B.1.1.7,0.5561,1176
2021-04-15T14:45:00Z,Minnesota,B.1.351,9e-04,1176
2021-04-15T14:45:00Z,Minnesota,B.1.427/B.1.429,0.1378,1176
2021-04-15T14:45:00Z,Minnesota,P.1,0.0026,1176
2021-04-15T14:45:00Z,Minnesota,Other lineages,0.3027,1176
2021-04-15T14:45:00Z,New Hampshire,B.1.1.7,0.214,500
2021-04-15T14:45:00Z,New Hampshire,B.1.351,,500
2021-04-15T14:45:00Z,New Hampshire,B.1.427/B.1.429,0.034,500
2021-04-15T14:45:00Z,New Hampshire,P.1,0.004,500
2021-04-15T14:45:00Z,New Hampshire,Other lineages,0.748,500
2021-04-15T14:45:00Z,New Jersey,B.1.1.7,0.3278,2468
2021-04-15T14:45:00Z,New Jersey,B.1.351,4e-04,2468
2021-04-15T14:45:00Z,New Jersey,B.1.427/B.1.429,0.0182,2468
2021-04-15T14:45:00Z,New Jersey,P.1,0.0049,2468
2021-04-15T14:45:00Z,New Jersey,Other lineages,0.6487,2468
2021-04-15T14:45:00Z,New York,B.1.1.7,0.2806,1586
2021-04-15T14:45:00Z,New York,B.1.351,0.0013,1586
2021-04-15T14:45:00Z,New York,B.1.427/B.1.429,0.0353,1586
2021-04-15T14:45:00Z,New York,P.1,0.0013,1586
2021-04-15T14:45:00Z,New York,Other lineages,0.6816,1586
2021-04-15T14:45:00Z,North Carolina,B.1.1.7,0.2106,1415
2021-04-15T14:45:00Z,North Carolina,B.1.351,0.036,1415
2021-04-15T14:45:00Z,North Carolina,B.1.427/B.1.429,0.07,1415
2021-04-15T14:45:00Z,North Carolina,P.1,,1415
2021-04-15T14:45:00Z,North Carolina,Other lineages,0.6834,1415
2021-04-15T14:45:00Z,Ohio,B.1.1.7,0.2584,1103
2021-04-15T14:45:00Z,Ohio,B.1.351,0.0136,1103
2021-04-15T14:45:00Z,Ohio,B.1.427/B.1.429,0.0662,1103
2021-04-15T14:45:00Z,Ohio,P.1,0.0082,1103
2021-04-15T14:45:00Z,Ohio,Other lineages,0.6537,1103
2021-04-15T14:45:00Z,Pennsylvania,B.1.1.7,0.2798,2895
2021-04-15T14:45:00Z,Pennsylvania,B.1.351,0.0031,2895
2021-04-15T14:45:00Z,Pennsylvania,B.1.427/B.1.429,0.047,2895
2021-04-15T14:45:00Z,Pennsylvania,P.1,0.001,2895
2021-04-15T14:45:00Z,Pennsylvania,Other lineages,0.6691,2895
2021-04-15T14:45:00Z,Rhode Island,B.1.1.7,0.175,503
2021-04-15T14:45:00Z,Rhode Island,B.1.351,,503
2021-04-15T14:45:00Z,Rhode Island,B.1.427/B.1.429,0.0755,503
2021-04-15T14:45:00Z,Rhode Island,P.1,0.004,503
2021-04-15T14:45:00Z,Rhode Island,Other lineages,0.7455,503
2021-04-15T14:45:00Z,Tennessee,B.1.1.7,0.6046,741
2021-04-15T14:45:00Z,Tennessee,B.1.351,0.0013,741
2021-04-15T14:45:00Z,Tennessee,B.1.427/B.1.429,0.0324,741
2021-04-15T14:45:00Z,Tennessee,P.1,0.0013,741
2021-04-15T14:45:00Z,Tennessee,Other lineages,0.3603,741
2021-04-15T14:45:00Z,Texas,B.1.1.7,0.4272,2425
2021-04-15T14:45:00Z,Texas,B.1.351,0.0029,2425
2021-04-15T14:45:00Z,Texas,B.1.427/B.1.429,0.0804,2425
2021-04-15T14:45:00Z,Texas,P.1,0.0045,2425
2021-04-15T14:45:00Z,Texas,Other lineages,0.4849,2425
2021-04-15T14:45:00Z,Virginia,B.1.1.7,0.3074,1028
2021-04-15T14:45:00Z,Virginia,B.1.351,0.0263,1028
2021-04-15T14:45:00Z,Virginia,B.1.427/B.1.429,0.0788,1028
2021-04-15T14:45:00Z,Virginia,P.1,,1028
2021-04-15T14:45:00Z,Virginia,Other lineages,0.5875,1028
2021-04-15T14:45:00Z,West Virginia,B.1.1.7,0.2291,550
2021-04-15T14:45:00Z,West Virginia,B.1.351,0.0018,550
2021-04-15T14:45:00Z,West Virginia,B.1.427/B.1.429,0.1164,550
2021-04-15T14:45:00Z,West Virginia,P.1,,550
2021-04-15T14:45:00Z,West Virginia,Other lineages,0.6527,550
2021-04-15T14:45:00Z,Wisconsin,B.1.1.7,0.2376,425
2021-04-15T14:45:00Z,Wisconsin,B.1.351,0.0188,425
2021-04-15T14:45:00Z,Wisconsin,B.1.427/B.1.429,0.1106,425
2021-04-15T14:45:00Z,Wisconsin,P.1,0.0141,425
2021-04-15T14:45:00Z,Wisconsin,Other lineages,0.6188,425
2021-04-16T14:48:00Z,Arizona,B.1.1.7,0.1411,411
2021-04-16T14:48:00Z,Arizona,B.1.351,,411
2021-04-16T14:48:00Z,Arizona,B.1.427/B.1.429,0.3601,411
2021-04-16T14:48:00Z,Arizona,P.1,0.0073,411
2021-04-16T14:48:00Z,Arizona,Other lineages,0.4915,411
2021-04-16T14:48:00Z,California,B.1.1.7,0.1594,6919
2021-04-16T14:48:00Z,California,B.1.351,0.0025,6919
2021-04-16T14:48:00Z,California,B.1.427/B.1.429,0.5384,6919
2021-04-16T14:48:00Z,California,P.1,0.0156,6919
2021-04-16T14:48:00Z,California,Other lineages,0.2841,6919
2021-04-16T14:48:00Z,Colorado,B.1.1.7,0.2907,915
2021-04-16T14:48:00Z,Colorado,B.1.351,0.0011,915
2021-04-16T14:48:00Z,Colorado,B.1.427/B.1.429,0.2809,915
2021-04-16T14:48:00Z,Colorado,P.1,0.0077,915
2021-04-16T14:48:00Z,Colorado,Other lineages,0.4197,915
2021-04-16T14:48:00Z,Connecticut,B.1.1.7,0.2919,651
2021-04-16T14:48:00Z,Connecticut,B.1.351,0.0077,651
2021-04-16T14:48:00Z,Connecticut,B.1.427/B.1.429,0.0753,651
